"prompt","query"
"Give me 10 genes with positive genetic constraint values.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Can you fetch 10 genes with a positive genetic constraint?","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Please retrieve 10 genes where `g.geneticConstraint` is positive.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Return 10 genes with genetic constraints greater than zero.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Display 10 genes with a genetic constraint above 0.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Provide 10 genes having positive genetic constraints.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Retrieve 10 genes with a genetic constraint that is positive.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Can you list 10 genes with a positive genetic constraint?","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Show me 10 genes with genetic constraints greater than zero.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Fetch a list of 10 genes with a positive genetic constraint.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Provide up to 10 genes where the genetic constraint is above 0.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"List up to 10 genes with genetic constraints that are positive.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Find up to 10 genes having positive values for genetic constraints.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Retrieve a list of 10 genes with genetic constraints > 0.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Get 10 genes where the genetic constraint value is positive.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Show a list of 10 genes with a genetic constraint above zero.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Find 10 pathways.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Return 10 pathways.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Give me 10 pathways.","MATCH (p:Pathway) RETURN p LIMIT 10"
"I want 10 pathways.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Can you please give me 10 pathways?","MATCH (p:Pathway) RETURN p LIMIT 10"
"10 pathways please.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Cypher query for 10 pathways.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Show me 10 pathways from the database.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Provide a list of 10 pathways.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Retrieve 10 pathways.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Fetch 10 pathways from the graph.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Display 10 pathways from the database.","MATCH (p:Pathway) RETURN p LIMIT 10"
"List 10 pathways from the dataset.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Query to get 10 pathways.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Can you return 10 pathways?","MATCH (p:Pathway) RETURN p LIMIT 10"
"Show 10 pathways from the graph database.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Find up to 10 pathways.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Provide me with a list of 10 pathways.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Retrieve up to 10 pathways from the graph.","MATCH (p:Pathway) RETURN p LIMIT 10"
"List up to 10 pathways.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Fetch a maximum of 10 pathways.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Give me a maximum of 10 pathways.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Please find 10 pathways.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Return the first 10 pathways.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Query to retrieve 10 pathways.","MATCH (p:Pathway) RETURN p LIMIT 10"
"Find 10 Reactome entries.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Return 10 Reactome entries.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Give me 10 Reactome entries.","MATCH (r:Reactome) RETURN r LIMIT 10"
"I want 10 Reactome entries.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Can you please give me 10 Reactome entries?","MATCH (r:Reactome) RETURN r LIMIT 10"
"10 Reactome entries please.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Cypher query for 10 Reactome entries.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Show me 10 Reactome entries from the database.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Provide a list of 10 Reactome entries.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Retrieve 10 Reactome entries.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Fetch 10 Reactome entries from the graph.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Display 10 Reactome entries from the database.","MATCH (r:Reactome) RETURN r LIMIT 10"
"List 10 Reactome entries from the dataset.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Query to get 10 Reactome entries.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Can you return 10 Reactome entries?","MATCH (r:Reactome) RETURN r LIMIT 10"
"Show 10 Reactome entries from the graph database.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Find up to 10 Reactome entries.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Provide me with a list of 10 Reactome entries.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Retrieve up to 10 Reactome entries from the graph.","MATCH (r:Reactome) RETURN r LIMIT 10"
"List up to 10 Reactome entries.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Fetch a maximum of 10 Reactome entries.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Give me a maximum of 10 Reactome entries.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Please find 10 Reactome entries.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Return the first 10 Reactome entries.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Query to retrieve 10 Reactome entries.","MATCH (r:Reactome) RETURN r LIMIT 10"
"Find 10 drugs.","MATCH (d:Drug) RETURN d LIMIT 10"
"Return 10 drugs.","MATCH (d:Drug) RETURN d LIMIT 10"
"Give me 10 drugs.","MATCH (d:Drug) RETURN d LIMIT 10"
"I want 10 drugs.","MATCH (d:Drug) RETURN d LIMIT 10"
"Can you please give me 10 drugs?","MATCH (d:Drug) RETURN d LIMIT 10"
"10 drugs please.","MATCH (d:Drug) RETURN d LIMIT 10"
"Cypher query for 10 drugs.","MATCH (d:Drug) RETURN d LIMIT 10"
"Show me 10 drugs from the database.","MATCH (d:Drug) RETURN d LIMIT 10"
"Provide a list of 10 drugs.","MATCH (d:Drug) RETURN d LIMIT 10"
"Retrieve 10 drugs.","MATCH (d:Drug) RETURN d LIMIT 10"
"Fetch 10 drugs from the graph.","MATCH (d:Drug) RETURN d LIMIT 10"
"Display 10 drugs from the database.","MATCH (d:Drug) RETURN d LIMIT 10"
"List 10 drugs from the dataset.","MATCH (d:Drug) RETURN d LIMIT 10"
"Query to get 10 drugs.","MATCH (d:Drug) RETURN d LIMIT 10"
"Can you return 10 drugs?","MATCH (d:Drug) RETURN d LIMIT 10"
"Show 10 drugs from the graph database.","MATCH (d:Drug) RETURN d LIMIT 10"
"Find up to 10 drugs.","MATCH (d:Drug) RETURN d LIMIT 10"
"Provide me with a list of 10 drugs.","MATCH (d:Drug) RETURN d LIMIT 10"
"Retrieve up to 10 drugs from the graph.","MATCH (d:Drug) RETURN d LIMIT 10"
"List up to 10 drugs.","MATCH (d:Drug) RETURN d LIMIT 10"
"Fetch a maximum of 10 drugs.","MATCH (d:Drug) RETURN d LIMIT 10"
"Give me a maximum of 10 drugs.","MATCH (d:Drug) RETURN d LIMIT 10"
"Please find 10 drugs.","MATCH (d:Drug) RETURN d LIMIT 10"
"Return the first 10 drugs.","MATCH (d:Drug) RETURN d LIMIT 10"
"Query to retrieve 10 drugs.","MATCH (d:Drug) RETURN d LIMIT 10"
"Find 10 Doid diseases.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Return 10 Doid diseases.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Give me 10 Doid diseases.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"I want 10 Doid diseases.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Can you please give me 10 Doid diseases?","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"10 Doid diseases please.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Cypher query for 10 Doid diseases.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Show me 10 Doid diseases from the database.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Provide a list of 10 Doid diseases.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Retrieve 10 Doid diseases.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Fetch 10 Doid diseases from the graph.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Display 10 Doid diseases from the database.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"List 10 Doid diseases from the dataset.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Query to get 10 Doid diseases.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Can you return 10 Doid diseases?","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Show 10 Doid diseases from the graph database.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Find up to 10 Doid diseases.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Provide me with a list of 10 Doid diseases.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Retrieve up to 10 Doid diseases from the graph.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"List up to 10 Doid diseases.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Fetch a maximum of 10 Doid diseases.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Give me a maximum of 10 Doid diseases.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Please find 10 Doid diseases.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Return the first 10 Doid diseases.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Query to retrieve 10 Doid diseases.","MATCH (d:Doid.Disease.Disease) RETURN d LIMIT 10"
"Find 10 EFO diseases.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Return 10 EFO diseases.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Give me 10 EFO diseases.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"I want 10 EFO diseases.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Can you please give me 10 EFO diseases?","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"10 EFO diseases please.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Cypher query for 10 EFO diseases.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Show me 10 EFO diseases from the database.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Provide a list of 10 EFO diseases.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Retrieve 10 EFO diseases.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Fetch 10 EFO diseases from the graph.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Display 10 EFO diseases from the database.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"List 10 EFO diseases from the dataset.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Query to get 10 EFO diseases.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Can you return 10 EFO diseases?","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Show 10 EFO diseases from the graph database.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Find up to 10 EFO diseases.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Provide me with a list of 10 EFO diseases.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Retrieve up to 10 EFO diseases from the graph.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"List up to 10 EFO diseases.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Fetch a maximum of 10 EFO diseases.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Give me a maximum of 10 EFO diseases.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Please find 10 EFO diseases.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Return the first 10 EFO diseases.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Query to retrieve 10 EFO diseases.","MATCH (d:Efo.Disease.Disease) RETURN d LIMIT 10"
"Find 10 GO diseases.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Return 10 GO diseases.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Give me 10 GO diseases.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"I want 10 GO diseases.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Can you please give me 10 GO diseases?","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"10 GO diseases please.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Cypher query for 10 GO diseases.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Show me 10 GO diseases from the database.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Provide a list of 10 GO diseases.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Retrieve 10 GO diseases.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Fetch 10 GO diseases from the graph.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Display 10 GO diseases from the database.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"List 10 GO diseases from the dataset.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Query to get 10 GO diseases.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Can you return 10 GO diseases?","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Show 10 GO diseases from the graph database.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Find up to 10 GO diseases.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Provide me with a list of 10 GO diseases.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Retrieve up to 10 GO diseases from the graph.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"List up to 10 GO diseases.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Fetch a maximum of 10 GO diseases.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Give me a maximum of 10 GO diseases.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Please find 10 GO diseases.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Return the first 10 GO diseases.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Query to retrieve 10 GO diseases.","MATCH (d:Go.Disease.Disease) RETURN d LIMIT 10"
"Find 10 diseases.","MATCH (n:Disease) RETURN n LIMIT 100"
"Return 10 diseases.","MATCH (n:Disease) RETURN n LIMIT 100"
"Give me 10 diseases.","MATCH (n:Disease) RETURN n LIMIT 100"
"I want 10 diseases.","MATCH (n:Disease) RETURN n LIMIT 100"
"Can you please give me 10 diseases?","MATCH (n:Disease) RETURN n LIMIT 100"
"10 diseases please.","MATCH (n:Disease) RETURN n LIMIT 100"
"Cypher query for 10 diseases.","MATCH (n:Disease) RETURN n LIMIT 100"
"Show me 10 diseases from the database.","MATCH (n:Disease) RETURN n LIMIT 100"
"Provide a list of 10 diseases.","MATCH (n:Disease) RETURN n LIMIT 100"
"Retrieve 10 diseases.","MATCH (n:Disease) RETURN n LIMIT 100"
"Fetch 10 diseases from the graph.","MATCH (n:Disease) RETURN n LIMIT 100"
"Display 10 diseases from the database.","MATCH (n:Disease) RETURN n LIMIT 100"
"List 10 diseases from the dataset.","MATCH (n:Disease) RETURN n LIMIT 100"
"Query to get 10 diseases.","MATCH (n:Disease) RETURN n LIMIT 100"
"Can you return 10 diseases?","MATCH (n:Disease) RETURN n LIMIT 100"
"Show 10 diseases from the graph database.","MATCH (n:Disease) RETURN n LIMIT 100"
"Find up to 10 diseases.","MATCH (n:Disease) RETURN n LIMIT 100"
"Provide me with a list of 10 diseases.","MATCH (n:Disease) RETURN n LIMIT 100"
"Retrieve up to 10 diseases from the graph.","MATCH (n:Disease) RETURN n LIMIT 100"
"List up to 10 diseases.","MATCH (n:Disease) RETURN n LIMIT 100"
"Fetch a maximum of 10 diseases.","MATCH (n:Disease) RETURN n LIMIT 100"
"Give me a maximum of 10 diseases.","MATCH (n:Disease) RETURN n LIMIT 100"
"Please find 10 diseases.","MATCH (n:Disease) RETURN n LIMIT 100"
"Return the first 10 diseases.","MATCH (n:Disease) RETURN n LIMIT 100"
"Query to retrieve 10 diseases.","MATCH (n:Disease) RETURN n LIMIT 100"
"Find 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Return 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Give me 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"I want 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Can you please give me 10 GO terms?","MATCH (n:GoTerm) RETURN n LIMIT 25"
"10 GO terms please.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Cypher query for 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Show me 10 GO terms from the database.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Provide a list of 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Retrieve 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Fetch 10 GO terms from the graph.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Display 10 GO terms from the database.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"List 10 GO terms from the dataset.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Query to get 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Can you return 10 GO terms?","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Show 10 GO terms from the graph database.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Find up to 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Provide me with a list of 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Retrieve up to 10 GO terms from the graph.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"List up to 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Fetch a maximum of 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Give me a maximum of 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Please find 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Return the first 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Query to retrieve 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Find 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Return 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Give me 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"I want 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Can you please give me 10 GO terms?","MATCH (n:GoTerm) RETURN n LIMIT 25"
"10 GO terms please.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Cypher query for 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Show me 10 GO terms from the database.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Provide a list of 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Retrieve 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Fetch 10 GO terms from the graph.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Display 10 GO terms from the database.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"List 10 GO terms from the dataset.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Query to get 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Can you return 10 GO terms?","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Show 10 GO terms from the graph database.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Find up to 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Provide me with a list of 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Retrieve up to 10 GO terms from the graph.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"List up to 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Fetch a maximum of 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Give me a maximum of 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Please find 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Return the first 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Query to retrieve 10 GO terms.","MATCH (n:GoTerm) RETURN n LIMIT 25"
"Give me 10 gene ontologies.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Find 10 gene ontologies.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Return 10 gene ontologies.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"I want 10 gene ontologies.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Can you please give me 10 gene ontologies?","MATCH (n:GoTerm) RETURN n LIMIT 10"
"10 gene ontologies please.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Cypher query for 10 gene ontologies.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Show me 10 gene ontologies from the database.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Provide a list of 10 gene ontologies.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Retrieve 10 gene ontologies.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Fetch 10 gene ontologies from the graph.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Display 10 gene ontologies from the database.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"List 10 gene ontologies from the dataset.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Query to get 10 gene ontologies.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Can you return 10 gene ontologies?","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Show 10 gene ontologies from the graph database.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Find up to 10 gene ontologies.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Provide me with a list of 10 gene ontologies.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Retrieve up to 10 gene ontologies from the graph.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"List up to 10 gene ontologies.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Fetch a maximum of 10 gene ontologies.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Give me a maximum of 10 gene ontologies.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Please find 10 gene ontologies.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Return the first 10 gene ontologies.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Query to retrieve 10 gene ontologies.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Give me 10 gene ontology terms.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Find 10 gene ontology terms.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Return 10 gene ontology terms.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"I want 10 gene ontology terms.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Can you please give me 10 gene ontology terms?","MATCH (n:GoTerm) RETURN n LIMIT 10"
"10 gene ontology terms please.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Cypher query for 10 gene ontology terms.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Show me 10 gene ontology terms from the database.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Provide a list of 10 gene ontology terms.","MATCH (n:GoTerm) RETURN n LIMIT 10"
"Retrieve 10 gene ontology terms.","MATCH (n:GoTerm) RETURN n LIMIT 10"
